index,"(0, 0)","(1, 0)","(2, 0)","(3, 0)","(4, 0)","(5, 0)","(6, 0)","(7, 0)","(8, 0)","(9, 0)","(0, 1)","(1, 1)","(2, 1)","(3, 1)","(4, 1)","(5, 1)","(6, 1)","(7, 1)","(8, 1)","(9, 1)","(0, 2)","(1, 2)","(2, 2)","(3, 2)","(4, 2)","(5, 2)","(6, 2)","(7, 2)","(8, 2)","(9, 2)","(0, 3)","(1, 3)","(2, 3)","(3, 3)","(4, 3)","(5, 3)","(6, 3)","(7, 3)","(8, 3)","(9, 3)","(0, 4)","(1, 4)","(2, 4)","(3, 4)","(4, 4)","(5, 4)","(6, 4)","(7, 4)","(8, 4)","(9, 4)","(0, 5)","(1, 5)","(2, 5)","(3, 5)","(4, 5)","(5, 5)","(6, 5)","(7, 5)","(8, 5)","(9, 5)","(0, 6)","(1, 6)","(2, 6)","(3, 6)","(4, 6)","(5, 6)","(6, 6)","(7, 6)","(8, 6)","(9, 6)","(0, 7)","(1, 7)","(2, 7)","(3, 7)","(4, 7)","(5, 7)","(6, 7)","(7, 7)","(8, 7)","(9, 7)","(0, 8)","(1, 8)","(2, 8)","(3, 8)","(4, 8)","(5, 8)","(6, 8)","(7, 8)","(8, 8)","(9, 8)","(0, 9)","(1, 9)","(2, 9)","(3, 9)","(4, 9)","(5, 9)","(6, 9)","(7, 9)","(8, 9)","(9, 9)"
"(5, 4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.759999999999998e-06,0.00017575999999999996,0.00045629999999999987,0.00017575999999999996,6.759999999999996e-06,0.0,0.0,0.0,0.0,0.0,0.00017575999999999996,0.004569759999999999,0.0118638,0.004569759999999999,0.00017575999999999993,0.0,0.0,0.0,0.0,0.0,0.00045630000000000003,0.011863800000000002,0.030800250000000008,0.011863800000000002,0.00045630000000000003,0.0,0.0,0.0,0.0,0.0,0.00017575999999999996,0.004569759999999999,0.0118638,0.004569759999999999,0.00017575999999999996,0.0,0.0,0.0,0.0,0.0,6.76e-06,0.00017576,0.00045630000000000003,0.00017576,6.759999999999999e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(6, 4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.759999999999998e-06,0.00017575999999999996,0.00045629999999999987,0.00017575999999999993,6.7600000000000005e-06,0.0,0.0,0.0,0.0,0.0,0.00017575999999999996,0.004569759999999999,0.0118638,0.004569759999999999,0.00017576000000000004,0.0,0.0,0.0,0.0,0.0,0.00045630000000000003,0.011863800000000002,0.030800250000000008,0.0118638,0.0004563000000000002,0.0,0.0,0.0,0.0,0.0,0.00017575999999999996,0.004569759999999999,0.0118638,0.004569759999999999,0.00017576000000000004,0.0,0.0,0.0,0.0,0.0,6.76e-06,0.00017576,0.00045630000000000003,0.00017576,6.760000000000003e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(7, 4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.759999999999996e-06,0.00017575999999999993,0.0004563,0.0001689999999999999,1.3520000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.00017575999999999993,0.004569759999999998,0.011863800000000002,0.004393999999999998,0.0003515200000000001,0.0,0.0,0.0,0.0,0.0,0.00045630000000000003,0.0118638,0.030800250000000015,0.011407499999999998,0.0009126000000000004,0.0,0.0,0.0,0.0,0.0,0.00017575999999999996,0.004569759999999999,0.011863800000000002,0.004393999999999998,0.0003515200000000001,0.0,0.0,0.0,0.0,0.0,6.759999999999999e-06,0.00017576,0.0004563000000000002,0.00016899999999999996,1.3520000000000006e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(8, 4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7600000000000005e-06,0.0001689999999999999,0.00027039999999999996,8.943999999999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00017576000000000004,0.004393999999999998,0.007030399999999998,0.00232544,0.0,0.0,0.0,0.0,0.0,0.0,0.0004563000000000002,0.011407499999999998,0.018251999999999997,0.006037200000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.00017576000000000004,0.004393999999999999,0.007030399999999999,0.0023254400000000002,0.0,0.0,0.0,0.0,0.0,0.0,6.760000000000003e-06,0.000169,0.00027039999999999996,8.944000000000002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(9, 4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3520000000000001e-05,8.943999999999998e-05,9.203999999999994e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003515200000000001,0.00232544,0.0023930399999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009126000000000004,0.006037200000000003,0.006212699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003515200000000001,0.0023254400000000002,0.0023930399999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3520000000000006e-05,8.944000000000001e-05,9.203999999999997e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.203999999999997e-05,8.944000000000001e-05,1.3520000000000003e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023930399999999986,0.0023254400000000002,0.0003515200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006212699999999999,0.006037200000000001,0.0009126000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023930399999999986,0.0023254400000000002,0.0003515200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.203999999999994e-05,8.943999999999998e-05,1.3520000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.944000000000001e-05,0.00027039999999999996,0.00016899999999999993,6.760000000000001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0023254400000000002,0.007030399999999999,0.004393999999999998,0.00017576000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.006037200000000001,0.018251999999999997,0.011407499999999998,0.0004563000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0023254400000000002,0.007030399999999999,0.004393999999999999,0.00017576000000000004,0.0,0.0,0.0,0.0,0.0,0.0,8.943999999999998e-05,0.00027039999999999996,0.0001689999999999999,6.7600000000000005e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2, 5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3520000000000003e-05,0.00016899999999999993,0.00045630000000000003,0.00017575999999999993,6.759999999999998e-06,0.0,0.0,0.0,0.0,0.0,0.0003515200000000001,0.004393999999999999,0.011863800000000002,0.004569759999999998,0.00017575999999999996,0.0,0.0,0.0,0.0,0.0,0.0009126000000000004,0.011407499999999998,0.030800250000000015,0.011863799999999997,0.0004563,0.0,0.0,0.0,0.0,0.0,0.0003515200000000001,0.004393999999999998,0.011863800000000002,0.004569759999999998,0.00017575999999999996,0.0,0.0,0.0,0.0,0.0,1.3520000000000001e-05,0.0001689999999999999,0.0004563,0.0001757599999999999,6.759999999999996e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3, 5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.760000000000001e-06,0.00017575999999999993,0.00045630000000000003,0.00017575999999999996,6.759999999999998e-06,0.0,0.0,0.0,0.0,0.0,0.00017576000000000004,0.004569759999999998,0.011863800000000002,0.004569759999999999,0.00017575999999999996,0.0,0.0,0.0,0.0,0.0,0.0004563000000000002,0.011863799999999997,0.030800250000000008,0.0118638,0.00045630000000000003,0.0,0.0,0.0,0.0,0.0,0.00017576000000000004,0.004569759999999998,0.011863800000000002,0.004569759999999999,0.00017575999999999996,0.0,0.0,0.0,0.0,0.0,6.7600000000000005e-06,0.0001757599999999999,0.00045629999999999987,0.00017575999999999993,6.759999999999998e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4, 5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.759999999999998e-06,0.00017575999999999996,0.00045630000000000003,0.00017575999999999998,6.759999999999999e-06,0.0,0.0,0.0,0.0,0.0,0.00017575999999999996,0.004569759999999999,0.011863800000000002,0.004569759999999999,0.00017575999999999996,0.0,0.0,0.0,0.0,0.0,0.0004563,0.0118638,0.030800250000000008,0.0118638,0.00045630000000000003,0.0,0.0,0.0,0.0,0.0,0.00017575999999999996,0.004569759999999999,0.011863800000000002,0.004569759999999999,0.00017575999999999998,0.0,0.0,0.0,0.0,0.0,6.759999999999996e-06,0.00017575999999999993,0.00045629999999999987,0.00017575999999999996,6.759999999999998e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(5, 5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.759999999999999e-06,0.00017575999999999998,0.00045630000000000003,0.00017575999999999998,6.759999999999998e-06,0.0,0.0,0.0,0.0,0.0,0.00017575999999999996,0.004569759999999999,0.0118638,0.004569759999999999,0.00017575999999999996,0.0,0.0,0.0,0.0,0.0,0.00045630000000000003,0.0118638,0.030800250000000008,0.0118638,0.0004563,0.0,0.0,0.0,0.0,0.0,0.00017575999999999996,0.004569759999999999,0.0118638,0.004569759999999999,0.00017575999999999996,0.0,0.0,0.0,0.0,0.0,6.759999999999998e-06,0.00017575999999999996,0.00045629999999999987,0.00017575999999999996,6.759999999999996e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(6, 5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.76e-06,0.00017575999999999998,0.00045630000000000003,0.00017575999999999996,6.760000000000001e-06,0.0,0.0,0.0,0.0,0.0,0.00017575999999999998,0.004569759999999999,0.0118638,0.004569759999999999,0.00017576000000000004,0.0,0.0,0.0,0.0,0.0,0.00045630000000000003,0.0118638,0.030800250000000008,0.0118638,0.0004563000000000002,0.0,0.0,0.0,0.0,0.0,0.00017575999999999996,0.004569759999999999,0.0118638,0.004569759999999999,0.00017576000000000004,0.0,0.0,0.0,0.0,0.0,6.759999999999998e-06,0.00017575999999999996,0.00045629999999999987,0.00017575999999999993,6.7600000000000005e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(7, 5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.759999999999998e-06,0.00017575999999999996,0.00045630000000000003,0.00016899999999999993,1.3520000000000003e-05,0.0,0.0,0.0,0.0,0.0,0.00017575999999999996,0.004569759999999999,0.011863800000000002,0.004393999999999999,0.0003515200000000001,0.0,0.0,0.0,0.0,0.0,0.0004563,0.0118638,0.030800250000000015,0.011407499999999998,0.0009126000000000004,0.0,0.0,0.0,0.0,0.0,0.00017575999999999996,0.004569759999999999,0.011863800000000002,0.004393999999999998,0.0003515200000000001,0.0,0.0,0.0,0.0,0.0,6.759999999999996e-06,0.00017575999999999993,0.0004563,0.0001689999999999999,1.3520000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(8, 5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.760000000000001e-06,0.00016899999999999993,0.00027039999999999996,8.944000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00017576000000000004,0.004393999999999998,0.007030399999999999,0.0023254400000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0004563000000000002,0.011407499999999998,0.018251999999999997,0.006037200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.00017576000000000004,0.004393999999999999,0.007030399999999999,0.0023254400000000002,0.0,0.0,0.0,0.0,0.0,0.0,6.7600000000000005e-06,0.0001689999999999999,0.00027039999999999996,8.943999999999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(9, 5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3520000000000003e-05,8.944000000000001e-05,9.203999999999997e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003515200000000001,0.0023254400000000002,0.0023930399999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009126000000000004,0.006037200000000001,0.006212699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003515200000000001,0.0023254400000000002,0.0023930399999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3520000000000001e-05,8.943999999999998e-05,9.203999999999994e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 6)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.203999999999997e-05,8.944000000000002e-05,1.3520000000000006e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023930399999999986,0.0023254400000000002,0.0003515200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006212699999999999,0.006037200000000001,0.0009126000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023930399999999986,0.00232544,0.0003515200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.203999999999998e-05,8.944000000000004e-05,1.3520000000000008e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 6)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.944000000000001e-05,0.00027039999999999996,0.00016899999999999996,6.760000000000003e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0023254400000000002,0.007030399999999999,0.004393999999999998,0.00017576000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.006037200000000001,0.018251999999999997,0.011407499999999998,0.0004563000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.00232544,0.007030399999999998,0.004393999999999998,0.00017576000000000004,0.0,0.0,0.0,0.0,0.0,0.0,8.944000000000004e-05,0.00027040000000000007,0.000169,6.760000000000004e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2, 6)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3520000000000006e-05,0.000169,0.0004563000000000002,0.00017575999999999996,6.759999999999999e-06,0.0,0.0,0.0,0.0,0.0,0.0003515200000000001,0.004393999999999999,0.011863800000000002,0.004569759999999998,0.00017575999999999996,0.0,0.0,0.0,0.0,0.0,0.0009126000000000004,0.011407499999999998,0.030800250000000015,0.011863799999999997,0.0004563,0.0,0.0,0.0,0.0,0.0,0.0003515200000000001,0.004393999999999998,0.011863800000000002,0.004569759999999998,0.00017575999999999993,0.0,0.0,0.0,0.0,0.0,1.3520000000000008e-05,0.000169,0.0004563000000000002,0.00017575999999999998,6.76e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3, 6)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.760000000000003e-06,0.00017575999999999996,0.00045630000000000003,0.00017576,6.76e-06,0.0,0.0,0.0,0.0,0.0,0.00017576000000000004,0.004569759999999998,0.011863800000000002,0.004569759999999999,0.00017575999999999996,0.0,0.0,0.0,0.0,0.0,0.0004563000000000002,0.011863799999999997,0.030800250000000008,0.0118638,0.00045630000000000003,0.0,0.0,0.0,0.0,0.0,0.00017576000000000004,0.004569759999999998,0.0118638,0.004569759999999998,0.00017575999999999996,0.0,0.0,0.0,0.0,0.0,6.760000000000004e-06,0.00017575999999999998,0.0004563000000000002,0.00017576,6.760000000000001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4, 6)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.759999999999999e-06,0.00017576,0.00045630000000000003,0.00017576,6.76e-06,0.0,0.0,0.0,0.0,0.0,0.00017575999999999996,0.004569759999999999,0.011863800000000002,0.004569759999999999,0.00017575999999999996,0.0,0.0,0.0,0.0,0.0,0.0004563,0.0118638,0.030800250000000008,0.0118638,0.00045630000000000003,0.0,0.0,0.0,0.0,0.0,0.00017575999999999993,0.004569759999999999,0.0118638,0.004569759999999999,0.00017575999999999996,0.0,0.0,0.0,0.0,0.0,6.76e-06,0.00017576,0.0004563000000000002,0.00017576,6.760000000000001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(5, 6)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.76e-06,0.00017576,0.00045630000000000003,0.00017576,6.759999999999999e-06,0.0,0.0,0.0,0.0,0.0,0.00017575999999999996,0.004569759999999999,0.0118638,0.004569759999999999,0.00017575999999999996,0.0,0.0,0.0,0.0,0.0,0.00045630000000000003,0.0118638,0.030800250000000008,0.0118638,0.0004563,0.0,0.0,0.0,0.0,0.0,0.00017575999999999993,0.004569759999999999,0.0118638,0.004569759999999999,0.00017575999999999993,0.0,0.0,0.0,0.0,0.0,6.760000000000001e-06,0.00017576,0.0004563000000000002,0.00017576,6.76e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(6, 6)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.76e-06,0.00017576,0.00045630000000000003,0.00017576,6.760000000000003e-06,0.0,0.0,0.0,0.0,0.0,0.00017575999999999998,0.004569759999999999,0.0118638,0.004569759999999999,0.00017576000000000004,0.0,0.0,0.0,0.0,0.0,0.00045630000000000003,0.0118638,0.030800250000000008,0.0118638,0.0004563000000000002,0.0,0.0,0.0,0.0,0.0,0.00017575999999999996,0.004569759999999999,0.0118638,0.004569759999999998,0.00017576000000000004,0.0,0.0,0.0,0.0,0.0,6.760000000000001e-06,0.00017576,0.0004563000000000002,0.00017576,6.760000000000004e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(7, 6)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.759999999999999e-06,0.00017576,0.0004563000000000002,0.000169,1.3520000000000006e-05,0.0,0.0,0.0,0.0,0.0,0.00017575999999999996,0.004569759999999999,0.011863800000000002,0.004393999999999999,0.0003515200000000001,0.0,0.0,0.0,0.0,0.0,0.0004563,0.0118638,0.030800250000000015,0.011407499999999998,0.0009126000000000004,0.0,0.0,0.0,0.0,0.0,0.00017575999999999993,0.004569759999999999,0.011863800000000002,0.004393999999999998,0.0003515200000000001,0.0,0.0,0.0,0.0,0.0,6.76e-06,0.00017576,0.0004563000000000002,0.000169,1.3520000000000008e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(8, 6)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.760000000000003e-06,0.00016899999999999996,0.00027039999999999996,8.944000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00017576000000000004,0.004393999999999998,0.007030399999999999,0.0023254400000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0004563000000000002,0.011407499999999998,0.018251999999999997,0.006037200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.00017576000000000004,0.004393999999999998,0.007030399999999998,0.00232544,0.0,0.0,0.0,0.0,0.0,0.0,6.760000000000004e-06,0.000169,0.00027040000000000007,8.944000000000004e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(9, 6)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3520000000000006e-05,8.944000000000002e-05,9.203999999999997e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003515200000000001,0.0023254400000000002,0.0023930399999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009126000000000004,0.006037200000000001,0.006212699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003515200000000001,0.00232544,0.0023930399999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3520000000000008e-05,8.944000000000004e-05,9.203999999999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
